0,AAPL,AMZN,MSFT,SNAP,HOOD,WMT,GOOG,PTON,CPRX,TSLA,F,AMC,SNDL,DIS,NIO,META,NFLX,LCID,NVDA,VOO,SPY,GOOGL,GPRO,PFE,PLUG,AAL,CCL,BABA,BAC,RIVN,SBUX,PLTR,DAL,AMD,NOK,GME,KO,TLRY,COIN,VTI,T,CGC,PYPL,SPCE,UBER,GM,MRNA,BB,FCEL,RBLX,GE,SQ,PSEC,NCLH,BA,DKNG,ABNB,QQQ,CRON,SIRI,CHPT,UAL,NKLA,JNJ,XOM,NKE,INTC,SOFI,LUV,RIOT,ARKK,MRO,DWAC,JBLU,COST,SHOP,TSM,ET,BNGO,BRK.B,SONY,RCL,WISH,V,RYCEY,JPM,VWO,TGT,O,CLOV,ZM,CRM,FUBO,BND,RITM,SPHD,QS,VEA,IVR,VYM
52-Week Change 3,-5.63%,-35.76%,-1.67%,-69.55%,-16.23%,-4.55%,-18.55%,-54.10%,104.78%,-45.19%,-17.02%,-70.70%,-73.86%,-24.13%,-53.38%,-0.53%,-3.49%,-61.63%,22.37%,,,-18.90%,-46.21%,-21.30%,-63.51%,-24.43%,-48.54%,-0.27%,-26.04%,-64.18%,30.67%,-33.26%,-15.70%,-3.80%,-6.86%,-39.77%,-3.32%,-60.75%,-54.65%,,1.39%,-78.34%,-30.04%,-60.75%,-4.63%,-11.96%,-8.49%,-33.28%,-55.54%,2.42%,32.56%,-47.31%,-18.05%,-36.88%,16.10%,11.94%,-33.52%,,-46.42%,-37.83%,-44.42%,-1.82%,-86.79%,-9.07%,32.88%,-3.29%,-31.18%,-21.55%,-28.97%,-22.67%,,-1.73%,-73.29%,-43.15%,-15.64%,-25.96%,-12.08%,8.65%,-49.30%,,-3.14%,-22.61%,-84.58%,7.12%,48.36%,0.96%,,-27.47%,-13.98%,-73.21%,-39.07%,-3.49%,-78.46%,,-24.79%,,-58.17%,,-47.61%,
S&P500 52-Week Change 3,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,,,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,-7.59%,,-7.59%,,-7.59%,,-7.59%,
52 Week High 3,176.15,158.65,294.18,35.39,12.76,160.77,131.92,26.50,22.11,364.07,16.68,27.50,5.9900,133.59,24.43,224.30,379.43,22.13,280.00,,,131.40,9.4200,54.93,31.56,21.42,20.63,125.84,40.37,41.90,110.83,13.33,46.27,109.57,5.4100,47.99,67.20,6.5000,156.16,,21.53,7.1200,105.95,9.2200,37.58,43.63,217.25,7.2000,5.5400,53.88,97.87,127.15,8.63,23.11,221.33,21.62,174.64,,3.6160,6.8500,19.92,55.04,8.9700,186.69,119.63,139.14,48.90,8.52,50.10,16.10,,33.42,53.96,14.07,609.18,62.20,104.50,13.67,4.3500,,95.70,87.68,8.84,234.30,1.8800,144.34,,254.87,75.40,3.5500,124.05,200.00,8.1400,,11.75,,18.87,,20.00,
52 Week Low 3,124.17,81.43,213.43,7.33,6.81,117.27,83.45,6.66,6.15,101.81,10.61,3.77,1.4500,84.07,8.03,88.09,162.71,6.09,108.13,,,83.34,4.5000,39.23,8.90,11.65,6.11,58.01,26.32,12.58,68.39,5.92,27.20,54.57,4.0800,15.41,54.02,2.2800,31.55,,14.46,1.5100,66.39,2.9800,19.90,30.33,115.03,3.1700,2.3000,21.65,46.78,51.34,6.09,10.31,113.02,9.77,81.91,,1.8050,3.4300,8.07,31.58,1.0200,150.11,79.29,82.22,24.59,4.24,28.95,3.25,,19.42,12.34,6.18,406.51,23.63,59.43,9.15,0.9800,,61.72,31.09,0.31,174.60,0.7100,101.28,,137.16,55.50,0.7850,63.55,126.34,0.9600,,6.86,,5.11,,9.60,
50-Day Moving Average 3,154.06,98.42,265.65,10.83,9.74,142.86,98.82,12.48,15.79,192.02,12.49,5.36,1.8137,101.16,9.73,187.88,331.67,9.10,239.81,,,98.34,5.2798,41.63,13.40,15.40,10.42,95.41,31.94,16.51,103.53,8.22,36.51,87.10,4.7148,20.42,60.49,2.7526,65.02,,19.08,2.2028,76.21,4.9100,32.81,38.09,155.61,4.0590,3.2158,40.90,87.62,74.49,7.19,14.91,207.87,18.04,120.16,,2.1102,4.2950,10.77,47.68,1.9704,157.44,110.80,121.81,28.58,6.31,33.09,7.29,,25.02,14.32,7.78,494.61,45.64,91.21,12.66,1.3412,,87.56,67.74,0.54,223.84,1.6042,135.60,,166.17,64.15,1.0398,73.00,179.13,1.7604,,8.67,,8.41,,12.30,
200-Day Moving Average 3,149.38,107.33,254.31,10.76,9.63,138.62,101.76,10.60,14.44,214.62,13.08,8.48,2.3879,101.03,13.97,152.20,276.86,12.45,176.11,,,101.16,5.5188,46.57,17.81,14.32,9.57,92.30,33.42,26.54,94.25,8.15,33.87,78.14,4.7347,25.81,61.12,3.2731,60.76,,18.50,2.8299,81.53,5.3289,28.78,37.01,159.51,4.8176,3.4756,38.40,67.14,68.98,7.29,14.30,174.85,15.51,108.56,,2.7366,5.7061,12.71,41.75,3.5240,167.95,102.93,110.59,30.37,5.79,35.76,6.31,,26.00,20.23,7.78,499.19,37.54,81.89,11.89,1.8925,,80.81,52.78,0.89,209.49,1.1737,125.85,,160.27,65.32,1.6788,81.76,162.77,2.7996,,8.88,,8.74,,13.50,
Avg Vol (3 month) 3,65.35M,64.92M,31.87M,33.4M,7.33M,6.72M,32.5M,12.48M,2.26M,169.05M,70.07M,39.16M,3.41M,10.41M,44.3M,31.6M,7.28M,27.3M,50.13M,,,40.28M,1.55M,22.73M,18.69M,22.17M,39.95M,23.27M,57.97M,31.44M,5.88M,41.59M,9.74M,62.44M,17.35M,5.56M,13.94M,13.51M,20.24M,,31.39M,6.88M,12.75M,10.57M,24.55M,15.59M,3.59M,6.41M,10.19M,12.39M,7.6M,16.23M,1.39M,14.46M,5.89M,13.12M,6.32M,,1.7M,17.61M,8.86M,8.08M,15.13M,8.53M,17.07M,5.95M,48.32M,36.62M,6.44M,18.74M,,10.86M,566.35k,8.41M,1.93M,19.05M,12.36M,13.49M,6.1M,,773.45k,3.68M,32.3M,6.17M,3.8M,13.69M,,3.16M,3.6M,6.27M,3.89M,8.56M,13.46M,,4.68M,,6.06M,,970.04k,
Avg Vol (10 day) 3,51.1M,47.52M,25.77M,22.46M,7.47M,6.78M,24.03M,6.88M,1.68M,131.37M,53.98M,50.02M,2.03M,7.23M,42.72M,20.33M,4.88M,15.53M,39.37M,,,31.05M,968.89k,19.04M,23.13M,15.35M,39.32M,39.47M,54.64M,22.47M,4.44M,26.7M,8.76M,52.9M,12.43M,3.58M,10.87M,10.56M,14.48M,,27.35M,5.45M,9.58M,10.83M,17.68M,11.68M,3.04M,7.09M,9.28M,8.6M,5.96M,15.19M,1.25M,11.44M,5.18M,8.88M,5.56M,,1.1M,14.38M,7.47M,6.63M,21.86M,7.93M,15.27M,4.79M,49.13M,27.32M,4.77M,23.02M,,11.67M,936.75k,6.46M,1.97M,11.35M,8.73M,9.22M,4.37M,,803.57k,2.78M,24.21M,5.6M,2.23M,11.24M,,2.77M,3.88M,4.51M,2.82M,5.7M,12.51M,,4.23M,,3.65M,,1.27M,
Shares Outstanding 5,15.82B,10.25B,7.44B,1.33B,768.37M,2.7B,5.97B,327.13M,105.65M,3.16B,3.92B,517.58M,260.7M,1.83B,1.67B,2.23B,445.35M,1.83B,2.47B,,,5.96B,128.63M,5.64B,593.39M,1.34B,1.12B,2.59B,8B,919.27M,1.15B,2B,641.24M,1.61B,5.58B,304.68M,4.33B,617.84M,183.58M,,7.15B,512.64M,1.13B,280.26M,2.01B,1.39B,385.68M,580.35M,405.73M,560.36M,1.09B,541.39M,400.15M,421.93M,599.18M,461.7M,408.93M,,380.58M,3.89B,350.49M,327.09M,557.39M,3.12B,4.07B,1.25B,4.17B,934.55M,594.91M,166.98M,,629.65M,30.03M,327.9M,443.48M,1.2B,5.19B,3.09B,306.24M,,1.23B,255.35M,698.63M,1.62B,8.37B,2.93B,,460.36M,660.52M,392.82M,247.17M,1B,209.7M,,473.73M,,360.52M,,41.47M,
Implied Shares Outstanding 6,,,,,896.05M,,,,,,,781.75M,,,,,,,2.47B,,,,,,,,,,,927.09M,,,,,,,,,231.47M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934.55M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Float 8,15.81B,9.24B,7.44B,969.04M,520.15M,1.42B,11.07B,304.3M,93.47M,2.7B,3.9B,514.75M,235M,1.83B,1.32B,2.21B,439.28M,640.94M,2.37B,,,11.07B,125.83M,5.61B,532.77M,643.65M,1.18B,2.1B,7.97B,599.34M,1.13B,1.79B,635.69M,1.6B,4.62B,266.57M,3.9B,607.52M,180.45M,,7.12B,328.92M,1.13B,228.64M,2.01B,1.39B,349.12M,466.37M,405.04M,526.3M,1.09B,536.24M,,419.06M,553.44M,416.43M,386.33M,,203.5M,673.6M,297.32M,325.42M,419.57M,2.6B,4.06B,1.23B,4.13B,791.38M,591.89M,154.43M,,627.85M,30.03M,326.07M,442.19M,1.2B,38.68B,2.47B,300.58M,,1.22B,226.42M,616.88M,1.62B,8.23B,2.92B,,458.92M,659.33M,341.07M,223.5M,968.26M,203.97M,,470.94M,,276.96M,,38.62M,
% Held by Insiders 1,0.07%,9.75%,0.06%,9.39%,8.06%,48.00%,0.02%,2.28%,5.97%,13.08%,0.18%,0.45%,0.57%,0.06%,0.00%,0.25%,1.44%,4.26%,4.21%,,,0.28%,1.94%,0.03%,10.04%,1.00%,7.99%,0.01%,0.11%,12.16%,2.08%,11.23%,0.32%,0.46%,0.01%,15.54%,0.67%,1.41%,2.13%,,0.09%,33.53%,0.23%,18.51%,0.18%,0.20%,9.61%,1.59%,0.18%,4.15%,0.20%,0.78%,27.53%,0.48%,0.08%,5.49%,2.71%,,46.88%,83.04%,3.36%,0.36%,22.46%,0.10%,0.09%,1.27%,0.06%,6.47%,0.35%,7.54%,,0.25%,3.78%,0.32%,0.21%,0.20%,0.00%,17.20%,1.82%,,0.00%,22.09%,9.43%,0.16%,0.00%,0.93%,,0.20%,0.10%,13.64%,9.34%,3.25%,4.34%,,0.68%,,26.03%,,0.21%,
% Held by Institutions 1,61.28%,60.46%,73.65%,52.92%,70.82%,32.88%,63.30%,88.86%,82.78%,44.94%,52.69%,25.81%,7.78%,65.07%,35.90%,76.03%,83.63%,74.03%,68.04%,,,78.98%,65.11%,70.74%,57.37%,55.36%,53.54%,14.96%,71.62%,68.01%,74.94%,34.79%,68.99%,72.43%,7.38%,28.29%,72.05%,10.56%,54.01%,,55.83%,12.64%,77.21%,39.04%,75.36%,83.72%,68.13%,49.28%,47.42%,74.82%,72.56%,71.03%,8.47%,62.59%,59.40%,56.11%,66.85%,,12.13%,11.96%,51.67%,65.29%,25.46%,71.71%,60.79%,83.45%,63.50%,37.03%,76.94%,37.61%,,79.88%,6.14%,70.77%,70.63%,69.60%,17.00%,37.55%,27.82%,,7.90%,75.00%,48.12%,98.68%,0.08%,71.90%,,81.86%,82.73%,32.37%,66.17%,78.15%,41.49%,,48.36%,,39.93%,,47.35%,
"Shares Short (Mar 14, 2023) 4",107.42M,56.47M,35.91M,54.67M,35.22M,9.96M,33.46M,36M,9.78M,87M,135.18M,127.21M,15.46M,17.81M,94.63M,28.68M,8.41M,139.98M,37.7M,,,42.32M,6.68M,44.14M,88.13M,,131.42M,66.58M,94.19M,69.17M,12.66M,139.14M,19.66M,34.98M,13.2M,58.51M,22.19M,55.73M,36.89M,,85.45M,45.36M,21M,56.1M,45.26M,30.16M,15.89M,20.88M,63.89M,24.95M,16.72M,23.11M,6.27M,42.71M,8.58M,31.75M,15.29M,,8.45M,163.91M,51.04M,15.85M,113.57M,12.59M,35.15M,10.58M,80.92M,83.28M,11.71M,32.88M,,17.24M,,15.29M,3.52M,38.4M,16.36M,47.08M,54.78M,,1.48M,18.87M,72.39M,32.75M,,20.63M,,9.05M,16.56M,28.78M,12.01M,10.74M,39.24M,,4.77M,,52.32M,,3.69M,
"Short Ratio (Mar 14, 2023) 4",1.75,1.01,1.3,1.72,5.31,1.36,1.12,3.85,5.81,0.52,1.94,2.94,3.88,1.99,2.02,0.99,1.42,6.39,0.76,,,1.19,4.4,2.02,5.32,,3.95,2.82,1.46,1.69,2.26,2.8,2.27,0.59,0.82,17.85,1.53,4.75,1.72,,2.95,8.51,1.85,5.84,1.93,2.08,4.01,3.44,6.41,1.64,1.86,1.69,4.01,2.73,1.51,1.85,1.96,,3.96,9.11,5.27,2.12,8.4,1.43,2.35,2.02,1.71,2.78,1.66,2.26,,1.52,,2.01,1.72,1.76,1.38,3.4,7.94,,2.08,5.77,1.75,5.96,,1.33,,2.74,4.3,3.66,2.57,1.1,2.92,,1.11,,7.75,,2.98,
"Short % of Float (Mar 14, 2023) 4",0.68%,0.63%,0.48%,6.60%,6.07%,0.72%,,12.49%,9.99%,3.35%,3.77%,24.65%,5.93%,0.97%,,1.29%,1.92%,19.78%,1.59%,,,0.71%,5.25%,0.78%,14.97%,,14.97%,,1.35%,18.06%,1.12%,7.61%,3.46%,2.18%,,21.86%,0.52%,9.04%,22.40%,,1.20%,14.07%,1.86%,22.62%,2.34%,2.17%,5.46%,3.98%,15.78%,6.67%,1.54%,4.29%,2.16%,11.39%,1.43%,7.50%,3.80%,,4.18%,24.85%,17.94%,5.42%,25.15%,0.40%,0.86%,1.09%,1.96%,10.73%,2.21%,20.91%,,3.18%,,5.22%,0.80%,5.40%,,1.70%,17.90%,,,9.90%,11.01%,2.02%,,0.71%,,1.97%,2.90%,7.33%,4.87%,1.11%,19.49%,,1.01%,,19.50%,,11.81%,
"Short % of Shares Outstanding (Mar 14, 2023) 4",0.68%,0.55%,0.48%,3.46%,3.93%,0.37%,0.26%,10.40%,9.26%,2.75%,3.39%,24.14%,5.93%,0.97%,5.66%,1.11%,1.89%,7.65%,1.53%,,,0.33%,4.31%,0.78%,14.85%,,10.11%,2.57%,1.18%,7.46%,1.10%,6.62%,3.07%,2.17%,0.24%,19.21%,0.51%,9.02%,15.94%,,1.20%,9.17%,1.86%,20.02%,2.25%,2.16%,4.12%,3.60%,15.75%,4.12%,1.53%,3.84%,1.57%,10.12%,1.43%,7.03%,2.42%,,2.22%,4.21%,14.67%,4.85%,20.38%,0.40%,0.86%,0.68%,1.96%,8.91%,1.97%,19.69%,,2.74%,,4.67%,0.79%,3.01%,0.32%,1.52%,17.89%,,0.12%,7.39%,10.36%,1.56%,,0.70%,,1.97%,2.51%,6.00%,4.09%,1.07%,18.71%,,1.01%,,11.89%,,8.89%,
"Shares Short (prior month Feb 14, 2023) 4",104.34M,62.13M,36.52M,54.29M,36.33M,12.53M,28.55M,37.82M,9.74M,82.12M,127.5M,131.64M,16.79M,16.95M,89.62M,30.59M,8.71M,129.97M,34.65M,,,41.93M,7.6M,38.02M,80.8M,,124.38M,54.25M,53.78M,37.62M,11.25M,128.78M,20.73M,31.5M,16.2M,57.29M,23.95M,49.47M,33.22M,,87.48M,52.06M,21.13M,50.77M,52.15M,24.67M,14.67M,22.34M,57.35M,27.78M,13.4M,22.47M,5.63M,41.29M,8.83M,31.16M,20.34M,,7.52M,178.39M,50.1M,15.69M,105.1M,8.77M,31.58M,11.89M,75.65M,74.21M,9.55M,30.59M,,18.11M,,16.01M,2.99M,42.59M,32.03M,42.69M,49.2M,,1.37M,20.86M,56.33M,33.14M,,16.44M,,12.53M,12.95M,29.42M,14.93M,11.02M,51.68M,,14.78M,,60.47M,,3.9M,
Forward Annual Dividend Rate 4,0.92,,2.72,,,2.28,,,,,0.6,,,,,,,,0.16,,,,,1.64,,1.98,,,0.88,,2.12,,,,0.08,,1.84,,,,1.11,,,,,0.36,,,,,0.32,,0.72,,,,,,,0.1,,,,4.52,3.64,1.36,0.5,,0.72,,,0.4,,,3.6,,1.79,1.22,,,,,,1.8,,4,,4.32,3.06,,,,,,1,,,,1.6,
Forward Annual Dividend Yield 4,0.57%,,0.94%,,,1.51%,,,,,4.87%,,,,,,,,0.06%,,,,,3.93%,,6.17%,,,3.15%,,2.02%,,,,1.71%,,2.94%,,,,5.65%,,,,,1.04%,,,,,0.34%,,10.67%,,,,,,,2.43%,,,,2.75%,3.18%,1.12%,1.54%,,2.24%,,,1.57%,,,0.73%,,2.01%,9.75%,,,,,,0.80%,,3.13%,,2.56%,4.88%,,,,,,12.82%,,,,14.87%,
Trailing Annual Dividend Rate 3,0.91,0.00,2.60,0.00,0.00,2.24,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,,,0.00,0.00,1.60,0.00,0.00,0.00,0.00,0.86,0.00,2.04,0.00,0.00,0.00,0.12,0.00,1.76,0.00,0.00,,1.11,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.32,0.00,0.72,0.00,0.00,0.00,0.00,,0.00,0.09,0.00,0.00,0.00,4.45,3.55,1.29,1.46,0.00,0.18,0.00,,0.35,0.00,0.00,3.60,0.00,11.00,1.00,0.00,,70.00,0.00,0.00,1.65,0.00,4.00,,3.96,2.97,0.00,0.00,0.00,0.00,,1.00,,0.00,,3.10,
Trailing Annual Dividend Yield 3,0.57%,0.00%,0.92%,0.00%,0.00%,1.49%,0.00%,0.00%,0.00%,0.00%,3.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,,,0.00%,0.00%,3.83%,0.00%,0.00%,0.00%,0.00%,3.00%,0.00%,1.93%,0.00%,0.00%,0.00%,2.45%,0.00%,2.81%,0.00%,0.00%,,5.64%,0.00%,0.00%,0.00%,0.00%,0.51%,0.00%,0.00%,0.00%,0.00%,0.34%,0.00%,10.57%,0.00%,0.00%,0.00%,0.00%,,0.00%,2.22%,0.00%,0.00%,0.00%,2.71%,3.08%,1.05%,4.51%,0.00%,0.55%,0.00%,,1.34%,0.00%,0.00%,0.72%,0.00%,12.33%,7.96%,0.00%,,78.73%,0.00%,0.00%,0.72%,0.00%,3.11%,,2.34%,4.78%,0.00%,0.00%,0.00%,0.00%,,12.63%,,0.00%,,30.04%,
5 Year Average Dividend Yield 4,0.94,,1.12,,,1.77,,,,,,,,,,,,,0.19,,,,,3.60,,4.80,,,2.17,,1.92,,,,,,3.09,,,,7.02,,,,,,,,,,1.36,,10.92,,,,,,,0.98,,,,2.61,5.32,0.94,2.88,,,,,1.51,,,0.80,,2.60,9.87,,,0.54,,,0.62,,2.77,,2.26,4.29,,,,,,11.51,,,,20.18,
